order_dow,order_hour_of_day,num_orders
1,10,55671
0,14,54552
0,15,53954
0,13,53849
1,9,51908
1,11,51584
0,12,51443
0,11,51035
0,16,49463
0,10,48465
1,12,47079
1,14,46764
1,13,46728
1,15,46403
1,16,44761
0,9,40798
0,17,39753
2,10,39230
6,14,38748
5,10,38313
2,11,38128
6,15,38093
5,11,37915
6,13,37564
2,16,37541
5,15,37508
2,15,37469
5,14,37407
2,14,37173
6,12,37121
6,11,36994
1,17,36792
2,13,36650
2,9,36314
5,13,36296
3,10,36040
3,15,35990
5,16,35860
2,12,35780
5,12,35714
6,10,35665
6,16,35562
3,16,35273
3,11,35215
4,10,35034
3,14,34773
5,9,34232
4,15,34222
3,13,34161
1,8,34116
4,16,34093
4,11,33857
4,14,33625
3,12,33455
4,13,32751
3,9,32312
4,12,32249
2,17,32151
4,9,31409
6,9,30839
6,17,30398
3,17,30368
5,17,29955
0,18,29572
4,17,29378
1,18,28977
0,8,28108
2,18,26470
3,18,25001
2,8,24635
4,18,24425
5,18,24310
6,18,24157
5,8,24015
6,8,22960
0,19,22654
3,8,22553
1,19,22145
4,8,21814
2,19,20084
4,19,19350
3,19,19249
5,19,18741
6,19,18346
0,20,18277
1,7,16571
1,20,16281
2,20,15039
0,21,14423
4,20,14186
3,20,13795
5,7,13434
6,20,13392
5,20,13322
2,7,13245
4,7,12493
0,7,12410
3,7,12396
1,21,11943
6,7,11319
0,22,11246
4,21,10796
2,21,10653
6,21,10501
3,21,10278
5,21,9515
1,22,8992
4,22,8812
6,22,8532
3,22,8242
2,22,8146
5,22,7498
0,23,6887
6,23,6087
4,23,5645
1,23,5620
1,6,5370
2,23,5358
5,23,5265
3,23,5181
5,6,4866
2,6,4758
3,6,4562
4,6,4401
0,0,3936
1,0,3674
0,6,3329
6,0,3306
6,6,3243
5,0,3189
2,0,3059
3,0,2952
4,0,2642
0,1,2398
6,1,1919
1,1,1830
5,1,1672
1,5,1607
5,5,1574
2,1,1572
4,1,1512
3,1,1495
0,2,1409
2,5,1399
3,5,1355
4,5,1330
6,2,1214
0,5,1168
6,5,1136
1,2,1105
5,2,1016
0,3,963
3,2,953
2,2,943
5,4,910
4,2,899
6,3,863
5,3,841
0,4,813
1,4,809
6,4,802
1,3,748
2,4,744
4,4,730
2,3,719
3,4,719
4,3,686
3,3,654
