product_name,times_ordered,times_reordered,reorder_rate_pct
Organic Low Fat Milk,368,336,91.3
Banana,18726,16557,88.4
Petit Suisse Fruit,120,106,88.3
Organic Lowfat 1% Milk,483,426,88.2
Organic Lactose Free 1% Lowfat Milk,269,237,88.1
1% Lowfat Milk,461,405,87.9
Organic Reduced Fat Milk,1206,1056,87.6
Organic Homogenized Whole Milk,125,109,87.2
Reduced Fat 2% Lactose-Free Milk,122,106,86.9
Organic Fat Free Milk,811,705,86.9
"Milk, Organic, Vitamin D",572,497,86.9
Organic Lactose Free Whole Milk,265,229,86.4
Fresh CA Grown Eggs,397,343,86.4
French Vanilla Soy Creamer,117,101,86.3
Bag of Organic Bananas,15480,13362,86.3
YoKids Squeeze! Organic Strawberry Flavor Yogurt,188,162,86.2
Organic Reduced Fat Omega-3 Milk,140,120,85.7
Goat Milk,168,144,85.7
Organic Strawana Probugs Kefir,193,165,85.5
Organic Orange Juice With Calcium & Vitamin D,110,94,85.5
